Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,5.180000,5.530000,4.590000,4.690000,4.648479,675220900
2021-01-29,5.130000,5.220000,4.530000,4.560000,4.519630,362323300
2021-02-01,4.970000,4.990000,4.660000,4.890000,4.846709,194969200
2021-02-02,4.740000,4.760000,4.400000,4.530000,4.489896,165679700
2021-02-03,4.630000,4.760000,4.520000,4.700000,4.658391,95964300
2021-02-04,4.490000,4.560000,4.300000,4.370000,4.331312,151036400
2021-02-05,4.330000,4.330000,4.200000,4.220000,4.182641,107577200
2021-02-08,4.280000,4.350000,4.210000,4.260000,4.222287,79270400
2021-02-09,4.260000,4.270000,4.170000,4.190000,4.152906,83593900
2021-02-10,4.210000,4.220000,4.100000,4.170000,4.133083,79240200
2021-02-11,4.160000,4.170000,4.070000,4.100000,4.063703,63166100
2021-02-12,4.110000,4.220000,4.070000,4.170000,4.133083,50557400
2021-02-16,4.170000,4.200000,4.100000,4.130000,4.093437,42745500
2021-02-17,4.100000,4.120000,4.050000,4.110000,4.073614,50251800
2021-02-18,4.070000,4.140000,4.050000,4.120000,4.083526,43669200
2021-02-19,4.130000,4.140000,4.060000,4.070000,4.033968,28413700
2021-02-22,4.020000,4.040000,3.960000,3.960000,3.924942,56342100
2021-02-23,3.930000,3.970000,3.830000,3.950000,3.915031,68365800
2021-02-24,3.940000,4.120000,3.910000,4.040000,4.004234,77998700
2021-02-25,4.250000,4.340000,4.010000,4.050000,4.014146,121260400
2021-02-26,4.010000,4.040000,3.910000,3.920000,3.885296,69186700
