Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,273.333344,282.666656,267.000000,278.476654,278.476654,79134000
2021-01-29,276.666656,280.803345,260.033325,264.510010,264.510010,104972400
2021-02-01,271.429993,280.666656,265.186676,279.936676,279.936676,76174200
2021-02-02,281.559998,293.500000,280.733337,290.929993,290.929993,73038600
2021-02-03,292.339996,292.693329,284.353333,284.896667,284.896667,55030500
2021-02-04,285.000000,285.500000,277.806671,283.329987,283.329987,47438100
2021-02-05,281.666656,288.256653,279.656677,284.076660,284.076660,55699800
2021-02-08,289.890015,292.589996,284.916656,287.806671,287.806671,60485100
2021-02-09,285.040009,286.600006,280.583344,283.153320,283.153320,45473100
2021-02-10,281.213318,281.606659,266.673340,268.273346,268.273346,108648300
2021-02-11,270.813324,276.626678,267.243347,270.553345,270.553345,64868400
2021-02-12,267.086670,272.443329,261.776672,272.040009,272.040009,71304900
2021-02-16,272.666656,273.666656,264.146667,265.406677,265.406677,59406900
2021-02-17,259.696655,266.613342,254.003326,266.049988,266.049988,77989500
2021-02-18,260.299988,264.896667,258.756653,262.459991,262.459991,53871300
2021-02-19,265.000000,265.596680,259.123322,260.433319,260.433319,56874900
2021-02-22,254.213333,256.166656,236.733337,238.166672,238.166672,111809100
2021-02-23,220.710007,237.869995,206.333328,232.946671,232.946671,199820700
2021-02-24,237.283340,248.333328,231.389999,247.339996,247.339996,110301000
2021-02-25,242.050003,245.736664,223.526672,227.406662,227.406662,117071700
2021-02-26,233.333328,235.566666,219.836670,225.166672,225.166672,123267600
