Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,66.250000,120.750000,28.062500,48.400002,48.400002,235263200
2021-01-29,94.927498,103.495003,62.500000,81.250000,81.250000,202264400
2021-02-01,79.139999,80.500000,53.000000,56.250000,56.250000,149528800
2021-02-02,35.189999,39.500000,18.555000,22.500000,22.500000,312732400
2021-02-03,28.002501,28.350000,21.312500,23.102501,23.102501,170794000
2021-02-04,22.797501,22.875000,13.332500,13.375000,13.375000,249709200
2021-02-05,13.510000,23.750000,12.772500,15.942500,15.942500,325380000
2021-02-08,18.102501,18.165001,14.505000,15.000000,15.000000,102749200
2021-02-09,14.152500,14.250000,11.630000,12.577500,12.577500,107372400
2021-02-10,12.692500,15.707500,11.637500,12.800000,12.800000,145820000
2021-02-11,12.502500,13.830000,12.055000,12.775000,12.775000,52226800
2021-02-12,12.687500,13.810000,12.012500,13.100000,13.100000,58293200
2021-02-16,13.165000,13.375000,12.260000,12.377500,12.377500,32700000
2021-02-17,12.442500,12.797500,11.140000,11.485000,11.485000,36747200
2021-02-18,12.122500,12.217500,10.162500,10.172500,10.172500,95962400
2021-02-19,10.320000,10.972500,9.625000,10.147500,10.147500,59312800
2021-02-22,11.672500,12.127500,10.600000,11.500000,11.500000,77904000
2021-02-23,11.242500,11.557500,10.000000,11.242500,11.242500,30260800
2021-02-24,11.175000,22.927500,11.175000,22.927500,22.927500,332446800
2021-02-25,42.389999,46.169998,25.250000,27.182501,27.182501,601235200
2021-02-26,29.365000,35.724998,21.500000,25.434999,25.434999,368776800
